	Vocal	Audio	EucDistMFCC
164	e	Nose	46.479678517022336
165	e	Nose	59.11811898461063
166	e	Nose	60.02348311572819
167	e	Nose	60.41935899736591
168	e	Nose	92.33584622693903
169	e	Nose	75.96349280264818
170	e	Nose	80.86131953076972
171	e	Nose	94.71909091179445
172	e	Nose	95.8788746646883
173	e	Nose	91.58906826439208
174	e	Nose	69.4932446407724
175	e	Nose	56.62699584399836
176	e	Nose	57.12480409158124
177	e	Nose	62.12665885031414
178	e	Nose	63.45956594401058
179	e	Nose	68.26745937814312
180	e	Mouth	57.23611842281425
181	e	Mouth	45.656392118659774
182	e	Mouth	56.611236840584034
183	e	Mouth	51.882733260338036
184	e	Mouth	59.95228732655955
185	e	Mouth	52.570015742022846
186	e	Mouth	36.16315068529751
187	e	Mouth	36.05082325588615
188	e	Mouth	39.57220882619843
189	e	Mouth	29.690294449492264
190	e	Mouth	36.92376483898399
191	e	Mouth	45.42016790981291
192	e	Mouth	32.42016163161361
193	e	Mouth	56.03781441020864
194	e	Mouth	43.5633387940842
195	e	Mouth	26.16586959460903
196	e	Mouth	37.58057117380892
197	e	Mouth	51.16068788607142
198	e	Mouth	51.51954039055084
199	e	Mouth	64.82346022957643
200	e	Mouth	44.17231468794216
201	e	Mouth	38.793560751457385
202	e	Mouth	54.31122116311094
203	e	Mouth	65.74261488253175
204	e	Mouth	56.47876025970763
205	e	Mouth	45.944537093777704
206	e	Mouth	53.845869393646936
207	e	Mouth	52.720996737877016
208	e	Mouth	67.86757387806921
209	e	Mouth	63.59396925357776
210	e	Mouth	72.20600122281137
211	e	Mouth	78.38504249284738
212	e	Mouth	63.05246705114668
213	e	Mouth	59.23226815623355
214	e	Mouth	60.52622705678966
215	e	Mouth	77.61163208931565
216	i	Monophonic	45.10619235205658
217	i	Monophonic	32.093040448899025
218	i	Monophonic	41.79253143166457
219	i	Monophonic	49.684998804082205
220	i	Monophonic	56.448288706838966
221	i	Monophonic	45.70382614711725
222	i	Monophonic	49.82328522389174
223	i	Monophonic	45.32959760741832
224	i	Monophonic	47.35906354693719
225	i	Monophonic	52.94305509740688
226	i	Monophonic	49.902154118926745
227	i	Monophonic	50.057889180273165
228	i	Monophonic	55.01921435331235
229	i	Monophonic	61.55800930566592
230	i	Monophonic	55.86556399573214
231	i	Monophonic	54.51336333805709
232	i	Monophonic	70.79888678345311
233	i	Monophonic	51.84447118138603
234	i	Monophonic	48.470446265642494
235	i	Monophonic	44.10594425653108
236	i	Monophonic	45.772348530654014
237	i	Monophonic	50.29360470350313
238	i	Monophonic	51.17728782222599
239	i	Monophonic	44.25133207563547
240	i	Monophonic	57.39369617678668
241	i	Monophonic	60.53345891041923
242	i	Monophonic	64.59350161726613
243	i	Monophonic	56.2040209541147
244	i	Monophonic	75.51671469611694
245	i	Monophonic	49.56239466741283
246	i	Monophonic	37.390452621436815
247	i	Monophonic	40.50539533139218
248	i	Monophonic	38.4566127196643
249	i	Monophonic	35.24971640530679
250	i	Monophonic	43.52072166375632
251	i	Monophonic	37.53083303855958
252	i	Nose	59.32862382312428
253	i	Nose	51.18042394343284
254	i	Nose	54.2470682394325
255	i	Nose	56.68472683951997
256	i	Nose	63.21528891448434
257	i	Nose	50.60095892098817
258	i	Nose	70.63224316251376
259	i	Nose	75.01347438670335
260	i	Nose	74.51488900402177
261	i	Nose	68.86863461335264
262	i	Nose	77.78604084935456
263	i	Nose	67.60546727939568
264	i	Nose	52.87396591822018
265	i	Nose	59.16356187695178
266	i	Nose	62.037163758962336
267	i	Nose	56.34290183988847
268	i	Nose	68.92817233090116
269	i	Nose	56.47160096352157
270	i	Nose	63.50968688128845
271	i	Nose	64.12412784840613
272	i	Nose	71.14737860771135
273	i	Nose	63.8217070160614
274	i	Nose	69.93104807476742
275	i	Nose	68.36908971845706
276	i	Nose	61.84400972054709
277	i	Nose	66.15693622310094
278	i	Nose	75.8066302289569
279	i	Nose	57.01747398654672
280	i	Nose	80.89138591194924
281	i	Nose	68.24864948678783
282	i	Nose	54.1309863689933
283	i	Nose	61.304923629965195
284	i	Nose	66.07423225764678
285	i	Nose	49.62920949699446
286	i	Nose	68.21793965286213
287	i	Nose	54.91793015108283
288	i	Mouth	49.61435538141686
289	i	Mouth	32.92045343916493
290	i	Mouth	36.31309916207585
291	i	Mouth	59.680421531056474
292	i	Mouth	52.283020351580646
293	i	Mouth	47.51490904561337
294	i	Mouth	52.50604693280983
295	i	Mouth	42.35734634244541
296	i	Mouth	45.81136214632788
297	i	Mouth	59.50233645992254
298	i	Mouth	48.79308577818734
299	i	Mouth	56.134739710651026
300	i	Mouth	53.49735896048432
301	i	Mouth	56.90407551042089
302	i	Mouth	45.98526050669992
